Start date;End date;Net export [MWh] Calculated resolutions;Netherlands (export) [MWh] Calculated resolutions;Netherlands (import) [MWh] Calculated resolutions;Switzerland (export) [MWh] Calculated resolutions;Switzerland (import) [MWh] Calculated resolutions;Denmark (export) [MWh] Calculated resolutions;Denmark (import) [MWh] Calculated resolutions;Czech Republic (export) [MWh] Calculated resolutions;Czech Republic (import) [MWh] Calculated resolutions;Luxembourg (export) [MWh] Calculated resolutions;Luxembourg (import) [MWh] Calculated resolutions;Sweden (export) [MWh] Calculated resolutions;Sweden (import) [MWh] Calculated resolutions;Austria (export) [MWh] Calculated resolutions;Austria (import) [MWh] Calculated resolutions;France (export) [MWh] Calculated resolutions;France (import) [MWh] Calculated resolutions;Poland (export) [MWh] Calculated resolutions;Poland (import) [MWh] Calculated resolutions;Norway (export) [MWh] Calculated resolutions;Norway (import) [MWh] Calculated resolutions;Belgium (export) [MWh] Calculated resolutions;Belgium (import) [MWh] Calculated resolutions
Jan 4, 2024 2:00 AM;Jan 4, 2024 3:00 AM;6,711.12;2,116.93;0.00;909.76;-419.29;2,398.25;0.00;1,152.00;-296.00;150.75;0.00;506.00;0.00;1,219.00;-569.25;0.00;-3,093.49;1,512.00;0.00;1,401.50;0.00;0.00;-277.04
Jan 4, 2024 3:00 AM;Jan 4, 2024 4:00 AM;6,804.35;2,072.74;0.00;963.84;-407.67;2,496.50;0.00;1,057.00;-373.00;138.00;0.00;507.00;0.00;1,206.25;-582.00;0.00;-3,152.09;1,474.00;0.00;1,401.75;0.00;12.30;-10.27
Jan 4, 2024 4:00 AM;Jan 4, 2024 5:00 AM;6,775.96;2,163.49;0.00;959.02;-375.88;2,507.25;0.00;1,122.00;-373.00;126.00;0.00;507.00;0.00;1,203.25;-636.25;0.00;-3,270.99;1,529.00;0.00;1,392.75;0.00;0.00;-77.68
Jan 4, 2024 5:00 AM;Jan 4, 2024 6:00 AM;6,677.42;2,418.31;0.00;939.27;-335.34;2,072.50;0.00;1,187.00;-426.00;227.75;0.00;492.00;0.00;1,182.00;-456.00;0.00;-3,347.42;1,541.00;0.00;1,179.50;0.00;10.32;-7.46
Jan 4, 2024 6:00 AM;Jan 4, 2024 7:00 AM;6,247.64;2,696.04;0.00;939.69;-98.22;1,182.25;0.00;1,684.00;-214.00;234.75;0.00;70.00;0.00;930.00;-181.75;0.00;-2,972.73;1,585.00;0.00;595.75;0.00;0.00;-203.13
Jan 4, 2024 7:00 AM;Jan 4, 2024 8:00 AM;4,713.75;2,097.17;0.00;445.10;-270.69;850.00;0.00;2,001.00;-146.00;236.50;0.00;0.00;0.00;846.25;-151.50;0.00;-3,017.16;1,631.00;0.00;40.50;-20.00;189.54;-17.97
Jan 4, 2024 8:00 AM;Jan 4, 2024 9:00 AM;2,622.30;2,024.25;0.00;502.43;-102.40;757.00;0.00;1,325.00;-513.00;327.00;0.00;0.00;0.00;627.25;-510.00;0.00;-2,700.93;1,446.00;0.00;0.00;-486.00;0.00;-74.30
Jan 4, 2024 9:00 AM;Jan 4, 2024 10:00 AM;1,610.32;1,906.69;0.00;453.84;-87.20;1,548.25;0.00;708.00;-843.00;334.50;0.00;0.00;0.00;853.25;-1,334.25;0.00;-2,687.42;1,117.00;0.00;62.00;-15.50;0.00;-405.83
Jan 4, 2024 10:00 AM;Jan 4, 2024 11:00 AM;295.06;2,070.07;-1.81;441.20;-1.83;1,459.50;0.00;318.00;-1,161.00;434.25;0.00;0.00;0.00;1,019.00;-1,901.50;0.00;-2,417.47;842.00;-1.00;189.25;0.00;0.00;-993.60
Jan 4, 2024 11:00 AM;Jan 4, 2024 12:00 PM;1,240.27;2,247.91;-69.21;551.97;0.00;1,695.25;0.00;1,160.00;-1,873.00;475.50;0.00;0.00;0.00;1,630.00;-2,044.75;0.00;-2,341.47;471.00;-1.00;338.00;0.00;0.00;-999.94
Jan 4, 2024 12:00 PM;Jan 4, 2024 1:00 PM;-384.17;1,889.17;-203.82;102.45;-540.00;1,779.00;0.00;1,054.00;-1,576.00;405.50;0.00;0.00;0.00;993.00;-1,864.50;0.00;-2,971.16;1,380.00;0.00;146.25;-0.25;0.00;-977.81
